date,NOVA27_CC,NOVA27_OVN,NOVA27_LO
2016-01-04,0.0,0.0,0.0
2016-01-05,0.0,0.0,0.0
2016-01-06,0.0,0.0,0.0
2016-01-07,0.0,0.0,0.0
2016-01-08,0.0,0.0,0.0
2016-01-11,0.0,0.0,0.0
2016-01-12,0.0,0.0,0.0
2016-01-13,0.0,0.0,0.0
2016-01-14,0.0,0.0,0.0
2016-01-15,0.0,0.0,0.0
2016-01-19,0.0,0.0,0.0
2016-01-20,0.0,0.0,0.0
2016-01-21,0.0,0.0,0.0
2016-01-22,0.0,0.0,0.0
2016-01-25,0.0,0.0,0.0
2016-01-26,0.0,0.0,0.0
2016-01-27,0.0,0.0,0.0
2016-01-28,0.0,0.0,0.0
2016-01-29,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-02-02,0.0,0.0,0.0
2016-02-03,0.0,0.0,0.0
2016-02-04,0.0,0.0,0.0
2016-02-05,0.0,0.0,0.0
2016-02-08,0.0,0.0,0.0
2016-02-09,0.0,0.0,0.0
2016-02-10,0.0,0.0,0.0
2016-02-11,0.0,0.0,0.0
2016-02-12,0.0,0.0,0.0
2016-02-16,0.0,0.0,0.0
2016-02-17,0.0,0.0,0.0
2016-02-18,0.0,0.0,0.0
2016-02-19,0.0,0.0,0.0
2016-02-22,0.0,0.0,0.0
2016-02-23,0.0,0.0,0.0
2016-02-24,0.0,0.0,0.0
2016-02-25,0.0,0.0,0.0
2016-02-26,0.0,0.0,0.0
2016-02-29,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-03-02,0.0,0.0,0.0
2016-03-03,0.0,0.0,0.0
2016-03-04,0.0,0.0,0.0
2016-03-07,0.0,0.0,0.0
2016-03-08,0.0,0.0,0.0
2016-03-09,0.0,0.0,0.0
2016-03-10,0.0,0.0,0.0
2016-03-11,0.0,0.0,0.0
2016-03-14,0.0,0.0,0.0
2016-03-15,0.0,0.0,0.0
2016-03-16,0.0,0.0,0.0
2016-03-17,0.0,0.0,0.0
2016-03-18,0.0,0.0,0.0
2016-03-21,0.0,0.0,0.0
2016-03-22,0.0,0.0,0.0
2016-03-23,0.0,0.0,0.0
2016-03-24,0.0,0.0,0.0
2016-03-28,0.0,0.0,0.0
2016-03-29,0.0,0.0,0.0
2016-03-30,0.0,0.0,0.0
2016-03-31,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-04-04,0.0,0.0,0.0
2016-04-05,0.0,0.0,0.0
2016-04-06,0.0,0.0,0.0
2016-04-07,0.0,0.0,0.0
2016-04-08,0.0,0.0,0.0
2016-04-11,0.0,0.0,0.0
2016-04-12,0.0,0.0,0.0
2016-04-13,0.0,0.0,0.0
2016-04-14,0.0,0.0,0.0
2016-04-15,0.0,0.0,0.0
2016-04-18,0.0,0.0,0.0
2016-04-19,0.0,0.0,0.0
2016-04-20,0.0,0.0,0.0
2016-04-21,0.0,0.0,0.0
2016-04-22,0.0,0.0,0.0
2016-04-25,0.0,0.0,0.0
2016-04-26,0.0,0.0,0.0
2016-04-27,0.0,0.0,0.0
2016-04-28,0.0,0.0,0.0
2016-04-29,0.0,0.0,0.0
2016-05-02,0.0,0.0,0.0
2016-05-03,0.0,0.0,0.0
2016-05-04,0.0,0.0,0.0
2016-05-05,0.0,0.0,0.0
2016-05-06,0.0,0.0,0.0
2016-05-09,0.0,0.0,0.0
2016-05-10,0.0,0.0,0.0
2016-05-11,0.0,0.0,0.0
2016-05-12,0.0,0.0,0.0
2016-05-13,0.0,0.0,0.0
2016-05-16,0.0,0.0,0.0
2016-05-17,0.0,0.0,0.0
2016-05-18,0.0,0.0,0.0
2016-05-19,0.0,0.0,0.0
2016-05-20,0.0,0.0,0.0
2016-05-23,0.0,0.0,0.0
2016-05-24,0.0,0.0,0.0
2016-05-25,0.0,0.0,0.0
2016-05-26,0.0,0.0,0.0
2016-05-27,0.0,0.0,0.0
2016-05-31,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0
2016-06-02,0.0,0.0,0.0
2016-06-03,0.0,0.0,0.0
2016-06-06,0.0,0.0,0.0
2016-06-07,0.0,0.0,0.0
2016-06-08,0.0,0.0,0.0
2016-06-09,0.0,0.0,0.0
2016-06-10,0.0,0.0,0.0
2016-06-13,0.0,0.0,0.0
2016-06-14,0.0,0.0,0.0
2016-06-15,0.0,0.0,0.0
2016-06-16,0.0,0.0,0.0
2016-06-17,0.0,0.0,0.0
2016-06-20,0.0,0.0,0.0
2016-06-21,0.0,0.0,0.0
2016-06-22,0.0,0.0,0.0
2016-06-23,0.0,0.0,0.0
2016-06-24,0.0,0.0,0.0
2016-06-27,0.0,0.0,0.0
2016-06-28,0.0,0.0,0.0
2016-06-29,0.0,0.0,0.0
2016-06-30,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-07-05,0.0,0.0,0.0
2016-07-06,0.0,0.0,0.0
2016-07-07,0.0,0.0,0.0
2016-07-08,0.0,0.0,0.0
2016-07-11,0.0,0.0,0.0
2016-07-12,0.0,0.0,0.0
2016-07-13,0.0,0.0,0.0
2016-07-14,0.0,0.0,0.0
2016-07-15,0.0,0.0,0.0
2016-07-18,0.0,0.0,0.0
2016-07-19,0.0,0.0,0.0
2016-07-20,0.0,0.0,0.0
2016-07-21,0.0,0.0,0.0
2016-07-22,0.0,0.0,0.0
2016-07-25,0.0,0.0,0.0
2016-07-26,0.0,0.0,0.0
2016-07-27,0.0,0.0,0.0
2016-07-28,0.0,0.0,0.0
2016-07-29,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0
2016-08-02,0.0,0.0,0.0
2016-08-03,0.0,0.0,0.0
2016-08-04,0.0,0.0,0.0
2016-08-05,0.0,0.0,0.0
2016-08-08,0.0,0.0,0.0
2016-08-09,0.0,0.0,0.0
2016-08-10,0.0,0.0,0.0
2016-08-11,0.0,0.0,0.0
2016-08-12,0.0,0.0,0.0
2016-08-15,0.0,0.0,0.0
2016-08-16,0.0,0.0,0.0
2016-08-17,0.0,0.0,0.0
2016-08-18,0.0,0.0,0.0
2016-08-19,0.0,0.0,0.0
2016-08-22,0.0,0.0,0.0
2016-08-23,0.0,0.0,0.0
2016-08-24,0.0,0.0,0.0
2016-08-25,0.0,0.0,0.0
2016-08-26,0.0,0.0,0.0
2016-08-29,0.0,0.0,0.0
2016-08-30,0.0,0.0,0.0
2016-08-31,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0
2016-09-02,0.0,0.0,0.0
2016-09-06,0.0,0.0,0.0
2016-09-07,0.0,0.0,0.0
2016-09-08,0.0,0.0,0.0
2016-09-09,0.0,0.0,0.0
2016-09-12,0.0,0.0,0.0
2016-09-13,0.0,0.0,0.0
2016-09-14,0.0,0.0,0.0
2016-09-15,0.0,0.0,0.0
2016-09-16,0.0,0.0,0.0
2016-09-19,0.0,0.0,0.0
2016-09-20,0.0,0.0,0.0
2016-09-21,0.0,0.0,0.0
2016-09-22,0.0,0.0,0.0
2016-09-23,0.0,0.0,0.0
2016-09-26,0.0,0.0,0.0
2016-09-27,0.0,0.0,0.0
2016-09-28,0.0,0.0,0.0
2016-09-29,0.0,0.0,0.0
2016-09-30,0.0,0.0,0.0
2016-10-03,0.0,0.0,0.0
2016-10-04,0.0,0.0,0.0
2016-10-05,0.0,0.0,0.0
2016-10-06,0.0,0.0,0.0
2016-10-07,0.0,0.0,0.0
2016-10-10,0.0,0.0,0.0
2016-10-11,0.0,0.0,0.0
2016-10-12,0.0,0.0,0.0
2016-10-13,0.0,0.0,0.0
2016-10-14,0.0,0.0,0.0
2016-10-17,0.0,0.0,0.0
2016-10-18,0.0,0.0,0.0
2016-10-19,0.0,0.0,0.0
2016-10-20,0.0,0.0,0.0
2016-10-21,0.0,0.0,0.0
2016-10-24,0.0,0.0,0.0
2016-10-25,0.0,0.0,0.0
2016-10-26,0.0,0.0,0.0
2016-10-27,0.0,0.0,0.0
2016-10-28,0.0,0.0,0.0
2016-10-31,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0
2016-11-02,0.0,0.0,0.0
2016-11-03,0.0,0.0,0.0
2016-11-04,0.0,0.0,0.0
2016-11-07,0.0,0.0,0.0
2016-11-08,0.0,0.0,0.0
2016-11-09,0.0,0.0,0.0
2016-11-10,0.0,0.0,0.0
2016-11-11,0.0,0.0,0.0
2016-11-14,0.0,0.0,0.0
2016-11-15,0.0,0.0,0.0
2016-11-16,0.0,0.0,0.0
2016-11-17,0.0,0.0,0.0
2016-11-18,0.0,0.0,0.0
2016-11-21,0.0,0.0,0.0
2016-11-22,0.0,0.0,0.0
2016-11-23,0.0,0.0,0.0
2016-11-25,0.0,0.0,0.0
2016-11-28,0.0,0.0,0.0
2016-11-29,0.0,0.0,0.0
2016-11-30,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0
2016-12-02,0.0,0.0,0.0
2016-12-05,0.0,0.0,0.0
2016-12-06,0.0,0.0,0.0
2016-12-07,0.0,0.0,0.0
2016-12-08,0.0,0.0,0.0
2016-12-09,0.0,0.0,0.0
2016-12-12,0.0,0.0,0.0
2016-12-13,0.0,0.0,0.0
2016-12-14,0.0,0.0,0.0
2016-12-15,0.0,0.0,0.0
2016-12-16,0.0,0.0,0.0
2016-12-19,0.0,0.0,0.0
2016-12-20,0.0,0.0,0.0
2016-12-21,0.0,0.0,0.0
2016-12-22,0.0,0.0,0.0
2016-12-23,0.0,0.0,0.0
2016-12-27,0.0,0.0,0.0
2016-12-28,0.0,0.0,0.0
2016-12-29,0.0,0.0,0.0
2016-12-30,0.0,0.0,0.0
2017-01-03,0.0,0.0,0.0
2017-01-04,-0.006090784572741355,-0.002813556892742772,0.010431913706037734
2017-01-05,-0.005862441339055646,-0.0002275368726302961,-0.001627600018891806
2017-01-06,-0.004569568878043428,-0.0006550115403388458,0.010484846176392405
2017-01-09,0.011757866761676415,-1.8401522111962526e-06,0.011074015368147349
2017-01-10,0.00153110927048431,0.0017722347528044136,0.001615363237530132
2017-01-11,-0.012960356212494861,-0.004806663503841847,0.0029509629849292836
2017-01-12,-0.0002466538353925625,0.0016446046398869707,-0.0018153969510306788
2017-01-13,0.0032569543268284318,0.0021029809232498975,0.01004045607056926
2017-01-17,-0.00547045456993871,0.0003512291055602245,-0.0123841766691172
2017-01-18,0.011029471754821663,0.0023202105187371423,0.012596118145495293
2017-01-19,-0.0008852950277016378,-0.0003230458216447736,0.0028462029785305543
2017-01-20,0.004744135585205644,0.005696942550180784,0.005171959647448909
2017-01-23,0.010951284938900597,0.001236001839681078,0.0067343660042234466
2017-01-24,0.007861581638675896,0.0019162603736499473,0.014368578820467626
2017-01-25,-0.0025394352092545152,0.0026845705841942904,0.013080845388557593
2017-01-26,0.0011265215883375151,-0.007021029519571898,-0.00018612567703080174
2017-01-27,0.004187944326732917,-0.002966765511400517,0.0023571632499424177
2017-01-30,-0.008955135375836198,-0.004470997484474937,-0.014109623736518652
2017-01-31,-0.01140426685926996,-0.0034772238283221624,-0.007335521480380214
2017-02-01,0.015296140776169111,0.006667950559166747,0.013240974751144741
2017-02-02,-0.004428822847606538,-0.004922220468864955,-9.28036542102819e-05
2017-02-03,-0.008589980715671196,-0.0058967543680368715,0.0010375363456707754
2017-02-06,0.005466622407969879,0.001157359743477648,0.002707203069062536
2017-02-07,0.0014925078624627,0.00022803041390312417,0.005204388227033363
2017-02-08,-0.0010995339692203895,-0.00030263517009202493,1.8043449158844425e-05
2017-02-09,-0.0027562465705049835,0.0018574142548682287,0.0024152656640913815
2017-02-10,0.0010869819379054737,0.006862138999066281,0.0007548428696740661
2017-02-13,0.0011294484673035178,0.003910665643726852,0.005872007019928283
2017-02-14,-0.009925628126360764,-0.0005407822390228412,-0.0008788935020168647
2017-02-15,0.0012702812944206726,0.003432344679388544,0.007077828843290857
2017-02-16,-0.00229582279929279,-0.00046161635310335567,-0.006596764382314158
2017-02-17,-0.0006093182251295961,-0.004205565220578089,0.004777169970080419
2017-02-21,0.007115308275369603,0.0020772044425415694,0.01584655738592894
2017-02-22,0.0012682639429203888,0.0004725425348641398,0.000357245040435772
