Date,raw_ret,dd_mult,vol_mult,total_mult,gross_ret,tc_drag,net_ret
1999-03-10,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-11,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-12,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-15,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-16,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-17,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-18,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-19,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-22,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-23,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-24,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-25,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-26,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-29,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-30,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-03-31,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-01,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-05,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-06,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-07,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-08,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-09,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-12,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-13,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-14,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-15,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-16,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-19,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-20,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1999-04-21,0.0,1.0,1.0,1.0,0.0,0.0,0.0
