Date,PX_VANGUARD,PX_ORION,PX_HELIOS,PX_CRYPTO
1999-03-10,0.0,0.0,0.0,0.0
1999-03-11,0.0,0.0,0.0,0.0
1999-03-12,0.0,0.0,0.0,0.0
1999-03-15,0.0,0.0,0.0,0.0
1999-03-16,0.0,0.0,0.0,0.0
1999-03-17,0.0,0.0,0.0,0.0
1999-03-18,0.0,0.0,0.0,0.0
1999-03-19,0.0,0.0,0.0,0.0
1999-03-22,0.0,0.0,0.0,0.0
1999-03-23,0.0,0.0,0.0,0.0
1999-03-24,0.0,0.0,0.0,0.0
1999-03-25,0.0,0.0,0.0,0.0
1999-03-26,0.0,0.0,0.0,0.0
1999-03-29,0.0,0.0,0.0,0.0
1999-03-30,0.0,0.0,0.0,0.0
1999-03-31,0.0,0.0,0.0,0.0
1999-04-01,0.0,0.0,0.0,0.0
1999-04-05,0.0,0.0,0.0,0.0
1999-04-06,0.0,0.0,0.0,0.0
1999-04-07,0.0,0.0,0.0,0.0
1999-04-08,0.0,0.0,0.0,0.0
1999-04-09,0.0,0.0,0.0,0.0
1999-04-12,0.0,0.0,0.0,0.0
1999-04-13,0.0,0.0,0.0,0.0
1999-04-14,0.0,0.0,0.0,0.0
1999-04-15,0.0,0.0,0.0,0.0
1999-04-16,0.0,0.0,0.0,0.0
1999-04-19,0.0,0.0,0.0,0.0
1999-04-20,0.0,0.0,0.0,0.0
1999-04-21,0.0,0.0,0.0,0.0
1999-04-22,0.0,0.0,0.0,0.0
1999-04-23,0.0,0.0,0.0,0.0
1999-04-26,0.0,0.0,0.0,0.0
1999-04-27,0.0,0.0,0.0,0.0
1999-04-28,0.0,0.0,0.0,0.0
1999-04-29,0.0,0.0,0.0,0.0
1999-04-30,0.0,0.0,0.0,0.0
1999-05-03,0.0,0.0,0.0,0.0
1999-05-04,0.0,0.0,0.0,0.0
1999-05-05,0.0,0.0,0.0,0.0
1999-05-06,0.0,0.0,0.0,0.0
1999-05-07,0.0,0.0,0.0,0.0
1999-05-10,0.0,0.0,0.0,0.0
1999-05-11,0.0,0.0,0.0,0.0
1999-05-12,0.0,0.0,0.0,0.0
1999-05-13,0.0,0.0,0.0,0.0
1999-05-14,0.0,0.0,0.0,0.0
1999-05-17,0.0,0.0,0.0,0.0
1999-05-18,0.0,0.0,0.0,0.0
1999-05-19,0.0,0.0,0.0,0.0
1999-05-20,0.0,0.0,0.0,0.0
1999-05-21,0.0,0.0,0.0,0.0
1999-05-24,0.0,0.0,0.0,0.0
1999-05-25,0.0,0.0,0.0,0.0
1999-05-26,0.0,0.0,0.0,0.0
1999-05-27,0.0,0.0,0.0,0.0
1999-05-28,0.0,0.0,0.0,0.0
1999-06-01,0.0,0.0,0.0,0.0
1999-06-02,0.0,0.0,0.0,0.0
1999-06-03,0.0,0.0,0.0,0.0
1999-06-04,0.0,0.0,0.0,0.0
1999-06-07,0.0,0.0,0.0,0.0
1999-06-08,0.0,0.0,0.0,0.0
1999-06-09,0.0,0.0,0.0,0.0
1999-06-10,0.0,0.0,0.0,0.0
1999-06-11,0.0,0.0,0.0,0.0
1999-06-14,0.0,0.0,0.0,0.0
1999-06-15,0.0,0.0,0.0,0.0
1999-06-16,0.0,0.0,0.0,0.0
1999-06-17,0.0,0.0,0.0,0.0
1999-06-18,0.0,0.0,0.0,0.0
1999-06-21,0.0,0.0,0.0,0.0
1999-06-22,0.0,0.0,0.0,0.0
1999-06-23,0.0,0.0,0.0,0.0
1999-06-24,0.0,0.0,0.0,0.0
1999-06-25,0.0,0.0,0.0,0.0
1999-06-28,0.0,0.0,0.0,0.0
