ticker,name,start,end,n
BTC,Bitcoin,2014-09-17,2026-04-24,4237
ETH,Ethereum,2017-11-09,2026-04-24,3088
SOL,Solana,2020-04-10,2026-04-24,2205
ADA,Cardano,2017-11-09,2026-04-24,3088
DOGE,Dogecoin,2017-11-09,2026-04-24,3088
LTC,Litecoin,2014-09-17,2026-04-24,4237
BCH,Bitcoin Cash,2017-11-09,2026-04-24,3088
XRP,XRP/Ripple,2017-11-09,2026-04-24,3088
LINK,Chainlink,2017-11-09,2026-04-24,3088
DOT,Polkadot,2020-08-20,2026-04-24,2073
AVAX,Avalanche,2020-07-13,2026-04-24,2042
ATOM,Cosmos,2019-03-14,2026-04-24,2598
XLM,Stellar,2017-11-09,2026-04-24,3088
TRX,Tron,2017-11-09,2026-04-24,3088
ALGO,Algorand,2019-06-21,2026-04-24,2499
LUNA1,Terra Luna (COLLAPSED May 2022),2019-07-26,2022-10-09,1172
USTC,TerraUSD Classic (DEPEGGED May 2022),2020-11-25,2026-04-22,1975
FTT,FTX Token (DEAD Nov 2022),2019-07-31,2026-04-24,2459
MATIC,Polygon (MIGRATED to POL Mar 2025),2019-04-28,2025-03-24,2158
UNI,Uniswap (delisted Apr 2025),2019-10-21,2025-04-17,2006
